search_term_to_note_groups_id,search_term,notes_admissions,notes_communication_encounter,notes_discharge_summary,notes_ecg_impression,notes_emergency_department,notes_inpatient,notes_outpatient,notes_problem_lists
1,heart failure with reduced ejection fraction,1,0,1,1,1,1,1,1
2,hfref,1,0,1,1,1,1,1,1
3,heart failure with preserved ejection fraction,1,0,1,1,1,1,1,1
4,hfpef,1,0,1,1,1,1,1,1
5,hyponatremia,1,1,1,0,1,1,1,1
6,low sodium,1,1,1,0,1,1,1,1
7,low na,1,1,1,0,1,1,1,1
8,hypokalemia,1,1,1,0,1,1,1,1
9,lower k,1,1,1,0,1,1,1,1
10,hypo k,1,1,1,0,1,1,1,1
11,low k,1,1,1,0,1,1,1,1
12,hyperkalemia,1,1,1,0,1,1,1,1
13,hyper k,1,1,1,0,1,1,1,1
14,hyperuricemia,1,1,1,0,1,1,1,1
15,ua high,1,1,1,0,1,1,1,1
16,hyper ua,1,1,1,0,1,1,1,1
17,uric acid elevated,1,1,1,0,1,1,1,1
18,hypercalcemia,1,1,1,0,1,1,1,1
19,hyper ca,1,1,1,0,1,1,1,1
20,high ca,1,1,1,0,1,1,1,1
21,high calcium,1,1,1,0,1,1,1,1
22,gout,1,0,1,0,0,1,1,1
23,gouty flare,1,0,1,0,0,1,1,1
24,impotence,1,1,1,0,0,1,1,1
25,ed,1,1,1,0,0,1,1,1
26,erectile disfunction,1,1,1,0,0,1,1,1
27,dry cough,1,1,1,0,0,1,1,1
28,nonproductive cough,1,1,1,0,0,1,1,1
29,angioedema,1,1,1,0,0,1,1,1
30,lip swelling,1,1,1,0,0,1,1,1
31,tongue swelling,1,1,1,0,0,1,1,1
32,face swelling,1,1,1,0,0,1,1,1
33,pregnancy,1,1,1,0,0,1,1,1
34,positive hgc,1,1,1,0,0,1,1,1
35,pregnant,1,1,1,0,0,1,1,1
36,flushing,1,1,1,0,1,1,1,1
37,facial erythema,1,1,1,0,1,1,1,1
38,gingival hypertrophy,1,1,1,0,0,1,1,1
39,gum swelling,1,1,1,0,0,1,1,1
40,tachycardia,1,1,1,1,1,1,1,1
